NU_ANO,NT_GER,NT_FG,NT_CE_D1,NT_CE_D2,NT_CE_D3
2021,5.4,13.6,55,0,0
2021,5.4,3.8,15,30,0
2021,5.5,9.5,0,0,0
2021,5.5,21.8,0,0,0
2021,5.5,22,0,0,0
2021,5.5,8.4,0,0,0
2021,5.5,9.5,0,10,0
2021,5.5,8.6,50,30,10
2021,5.5,12.2,30,35,0
2021,5.5,11.1,0,0,0
2021,5.5,8.5,0,0,0
2021,5.5,4,70,50,0
2021,5.5,8.9,0,0,0
2021,5.5,13,0,30,30
2021,5.5,8.6,0,0,0
2021,5.5,9.5,0,0,0
2021,5.5,9.5,0,0,0
2021,5.6,22.5,0,0,0
2021,5.6,0,0,0,0
2021,5.6,0,0,0,0
2021,5.6,0,0,0,0
2021,5.6,22.5,0,0,0
2021,5.6,11.3,0,0,0
2021,5.6,0,0,0,0
2021,5.6,22.5,0,0,0
2021,5.6,0,0,0,0
2021,5.6,0,0,0,0
2021,5.6,8.9,0,0,0
2021,5.6,7.5,0,15,10
2021,5.6,3.4,0,50,0
2021,5.6,0,0,0,0
2021,5.6,0,0,0,0
2021,5.6,0,0,0,0
2021,5.6,22.5,0,0,0
2021,5.6,11.5,0,0,0
2021,5.6,10.2,40,40,0
2021,5.6,11.9,10,45,15
2021,5.6,22.5,0,0,0
2021,5.6,10.1,0,0,0
2021,5.6,0,0,0,0
2021,5.6,0,0,0,0
2021,5.6,22.3,0,0,0
2021,5.6,11.3,0,0,0
2021,5.6,0,0,0,0
2021,5.6,7.5,25,0,0
2021,5.6,22.5,0,0,0
2021,5.6,0,0,0,0
2021,5.6,0,0,0,0
2021,5.6,0,0,0,0
2021,5.6,6,20,15,0
2021,5.6,9.5,0,0,0
2021,5.6,0,0,0,0
2021,5.6,0,0,0,0
2021,5.6,0,0,0,0
2021,5.6,22.5,0,0,0
2021,5.6,0,0,0,0
2021,5.6,0,0,0,0
2021,5.6,0,0,0,0
2021,5.6,0,0,0,0
2021,5.6,22.5,0,0,0
2021,5.6,3.4,10,25,0
2021,5.6,0,0,0,0
2021,5.6,0,0,0,0
2021,5.6,15,15,35,0
2021,5.6,0,0,0,0
2021,5.6,22.5,0,0,0
2021,5.6,22.5,0,0,0
2021,5.6,0,0,0,0
