NU_ANO,CO_CURSO,NU_IDADE
2021,1187614,19
2021,59412,19
2021,58360,19
2021,77134,19
2021,1258704,19
2021,1155961,19
2021,89380,19
2021,3848,19
2021,1285868,19
2021,22238,19
2021,99501,19
2021,123549,19
2021,37291,19
2021,105403,19
2021,1001938,19
2021,1127035,19
2021,1420136,19
2021,1405575,19
2021,1322317,19
2021,1257521,19
2021,63726,19
2021,1452641,19
2021,102280,19
2021,69891,19
2021,1209155,19
2021,1210193,19
2021,1206201,19
2021,7409,19
2021,92740,19
2021,123803,19
2021,1521925,19
2021,1388165,19
2021,89380,19
2021,59993,19
2021,123677,19
2021,5000454,19
2021,48968,19
2021,5000352,19
2021,122124,19
2021,5000385,19
2021,89380,19
2021,1205714,19
2021,59972,19
2021,5950,19
2021,89380,19
2021,51987,19
2021,98301,19
2021,1206201,19
2021,1150467,19
2021,1306249,19
2021,59993,19
2021,103569,19
2021,62638,19
2021,1106261,19
2021,1106261,19
2021,19204,19
2021,105992,19
2021,123472,19
2021,1260543,19
2021,1260543,19
2021,121131,19
2021,115882,19
2021,115882,19
2021,97346,19
2021,1001938,19
2021,1001938,19
2021,58360,19
2021,58360,19
2021,58360,19
2021,1204643,19
2021,1204643,19
2021,1321321,19
2021,1389351,19
2021,1160973,19
2021,114097,19
2021,12023,19
2021,113829,19
2021,123523,19
2021,1160946,19
2021,1258848,19
2021,5000448,19
2021,114178,19
2021,123539,19
2021,76937,19
2021,1304680,19
2021,123545,19
2021,123549,19
2021,123549,19
2021,123549,19
2021,123549,19
2021,1258844,19
2021,75288,19
2021,77098,19
2021,77098,19
2021,123537,19
2021,123537,19
2021,123537,19
2021,1155933,19
2021,1155933,19
2021,1155933,19
2021,67380,19
2021,1180799,19
2021,1180799,19
2021,1180799,19
2021,76851,19
2021,76851,19
2021,76851,19
2021,1321321,19
2021,1321321,19
2021,75182,19
2021,94307,19
2021,1257511,19
2021,19541,19
2021,1364620,19
2021,1517024,19
2021,1299253,19
2021,1119473,19
2021,1119473,19
2021,18271,19
2021,1190047,19
2021,1131979,19
2021,1131979,19
2021,1131979,19
2021,1073316,19
2021,1073316,19
2021,100309,19
2021,1389351,19
2021,1457379,19
2021,60040,19
2021,99230,19
2021,1119382,19
2021,1205876,19
2021,1205876,19
2021,112984,19
2021,1286560,19
2021,52007,19
2021,52007,19
2021,1497553,19
2021,21105,19
2021,1258538,19
2021,86782,19
2021,1214120,19
2021,1214120,19
2021,1286531,19
2021,1258541,19
2021,1258541,19
2021,1525885,19
2021,1268512,19
2021,4092,19
2021,17380,19
2021,4092,19
2021,4092,19
2021,4092,19
2021,48895,19
2021,1382607,19
2021,1474142,19
2021,21295,19
2021,1295073,19
2021,1286800,19
2021,1286800,19
2021,1286800,19
2021,1286800,19
2021,1286800,19
2021,1286800,19
2021,1286800,19
2021,1429882,19
2021,110172,19
2021,5001328,19
2021,100305,19
2021,100305,19
2021,100305,19
2021,100305,19
2021,100305,19
2021,100305,19
2021,107836,19
2021,1388165,19
2021,1106470,19
2021,1106470,19
2021,1259052,19
2021,1106470,19
2021,47976,19
2021,8583,19
2021,1258369,19
2021,1150328,19
2021,102280,19
2021,21892,19
2021,1388279,19
2021,1388279,19
2021,12025,19
2021,1104698,19
2021,1152592,19
2021,38246,19
2021,38246,19
2021,113052,19
2021,1496476,19
2021,79430,19
2021,1258844,19
2021,107549,19
2021,15868,19
2021,1285865,19
2021,81328,19
2021,81328,19
2021,1042112,19
2021,85806,19
2021,104721,19
2021,97780,19
2021,111090,19
2021,75288,19
2021,114178,19
2021,1285818,19
2021,123523,19
2021,1452642,19
2021,1452642,19
2021,1452642,19
2021,1452642,19
2021,1452642,19
2021,1452642,19
2021,1452642,19
2021,1452642,19
2021,1315060,19
2021,123549,19
2021,1177465,19
2021,1177465,19
2021,102280,19
2021,1180796,19
2021,100309,19
2021,87280,19
2021,118368,19
2021,1286531,19
2021,1313223,19
2021,58741,19
2021,100305,19
2021,100305,19
2021,1258538,19
2021,1214121,19
2021,1113011,19
2021,1205895,19
2021,115692,19
2021,1113011,19
2021,1454405,19
2021,1279057,19
2021,110000,19
2021,110000,19
2021,82894,19
2021,1427316,19
2021,1427316,19
2021,1427323,19
2021,1348195,19
2021,107383,19
2021,112052,19
2021,105158,19
2021,105158,19
2021,1279605,19
2021,1300006,19
2021,1327343,19
2021,1204036,19
2021,1135071,19
2021,1481976,19
2021,103338,19
2021,74174,19
2021,1144540,19
2021,89380,19
2021,113829,19
2021,113829,19
2021,89380,19
2021,89380,19
2021,89380,19
2021,89380,19
2021,95037,19
2021,95037,19
2021,89380,19
2021,89380,19
2021,89380,19
2021,80232,20
2021,21714,20
2021,1286800,20
2021,55542,20
2021,59333,20
2021,18603,20
2021,123541,20
2021,1258538,20
2021,41798,20
2021,1286800,20
2021,1404804,20
2021,123523,20
2021,19534,20
2021,100305,20
2021,1181233,20
